#(1) (2)     (3)     (4)     (5)     (6)     (7)     (8)     (9)     (10)    (11)    (12)
#     k       N      u-g     g-r     r-i    k_ug    k_gr    k_ri      a       b      theta
#                    mag     mag     mag     mag     mag     mag     deg     deg     rad
1   0.000   28955   0.855   0.259   0.094   0.851   0.492   0.182   0.282   0.135   -1.165
2   0.173   30041   1.002   0.344   0.126   0.868   0.467   0.172   0.247   0.129   -1.147
3   0.324   25980   1.136   0.410   0.150   0.893   0.422   0.154   0.221   0.124   -1.075
4   0.463   19313   1.262   0.466   0.170   0.907   0.396   0.145   0.219   0.126   -1.026
5   0.596   14991   1.382   0.517   0.189   0.915   0.379   0.140   0.216   0.125   -0.977
6   0.723   11847   1.499   0.565   0.207   0.915   0.379   0.135   0.217   0.129   -0.983
7   0.843   9305    1.609   0.611   0.223   0.912   0.387   0.132   0.224   0.131   -0.986
8   0.956   7609    1.712   0.655   0.238   0.904   0.402   0.146   0.227   0.127   -0.989
9   1.063   6313    1.808   0.700   0.255   0.888   0.430   0.165   0.233   0.132   -1.040
10  1.173   5790    1.904   0.748   0.273   0.878   0.449   0.166   0.248   0.129   -1.002
11  1.290   5540    2.007   0.802   0.293   0.860   0.478   0.178   0.266   0.134   -1.017
12  1.420   5544    2.117   0.866   0.317   0.827   0.521   0.213   0.278   0.136   -1.023
13  1.565   5738    2.234   0.945   0.351   0.773   0.573   0.271   0.309   0.136   -1.033
14  1.736   6466    2.361   1.047   0.403   0.646   0.650   0.400   0.382   0.145   -1.051
15  1.946   7661    2.478   1.191   0.502   0.355   0.634   0.688   0.463   0.156   -1.108
16  2.195   7110    2.518   1.327   0.707   0.053   0.278   0.959   0.484   0.180   -1.244
17  2.558   4092    2.510   1.355   1.068   -0.022  0.076   0.997   0.569   0.212   -1.669

# NOTE -- For each locus point the columns are as follows:
# (1) the number of the locus point;
# (2) the distance in magnitudes along the stellar locus;
# (3) the number of sources associated with this locus point;
# (4)–(6) the u*-g*, g*-r*, and r*-i* positions of the locus point, respectively;
# (7)–(9) the components of the unit vector along the locus;
# (10) the major axis;
# (11) the minor axis;
# (12) the position angle (in radians) of the ellipse fit to the cross section of the stellar locus.
# See Newberg & Yanny 1997 for more details. 
#
# Table 3 of York et al. 2002
