#(1) (2)     (3)     (4)     (5)     (6)     (7)     (8)     (9)     (10)    (11)    (12)
#     k       N      u-g     g-r     r-i    k_ug    k_gr    k_ri      a       b      theta
1   0.000   14876   0.204   0.071   0.003   0.911   0.351   0.218   0.207   0.146   0.067
2   0.110   29513   0.304   0.110   0.027   0.916   0.339   0.213   0.165   0.126   -2.907
3   0.194   31790   0.382   0.137   0.044   0.910   0.340   0.237   0.154   0.128   -2.990
4   0.274   26152   0.454   0.166   0.066   0.895   0.356   0.268   0.159   0.134   -0.029
5   0.354   21239   0.525   0.194   0.087   0.905   0.342   0.253   0.164   0.133   -0.194
6   0.429   15402   0.594   0.219   0.105   0.913   0.325   0.246   0.162   0.133   -0.315
7   0.501   10989   0.659   0.242   0.123   0.911   0.330   0.246   0.151   0.133   -0.610
8   0.571   8171    0.723   0.265   0.140   0.915   0.332   0.231   0.150   0.127   -0.858
9   0.641   6581    0.787   0.288   0.155   0.916   0.335   0.220   0.153   0.128   -0.935
10  0.713   5510    0.853   0.313   0.171   0.906   0.360   0.222   0.157   0.124   -0.917
11  0.789   4817    0.922   0.341   0.188   0.897   0.380   0.227   0.160   0.125   -0.921
12  0.867   4215    0.991   0.371   0.206   0.876   0.420   0.237   0.163   0.123   -0.898
13  0.951   3704    1.063   0.409   0.227   0.832   0.485   0.267   0.171   0.123   -0.949
14  1.036   3261    1.132   0.454   0.251   0.778   0.551   0.301   0.175   0.125   -1.033
15  1.129   3272    1.202   0.507   0.280   0.704   0.623   0.342   0.178   0.127   -1.127
16  1.222   3136    1.262   0.569   0.314   0.566   0.729   0.386   0.185   0.135   -1.323
17  1.327   3023    1.313   0.651   0.356   0.362   0.832   0.420   0.193   0.129   -1.423
18  1.446   2521    1.343   0.754   0.408   0.168   0.885   0.434   0.213   0.131   -1.554
19  1.579   1917    1.355   0.874   0.465   0.035   0.900   0.435   0.246   0.137   -1.628
20  1.715   1432    1.352   0.996   0.525   -0.031  0.899   0.438   0.250   0.135   -1.667
21  1.849   1058    1.347   1.116   0.583   -0.008  0.895   0.446   0.265   0.133   -1.647
22  1.988   755     1.350   1.240   0.646   0.047   0.879   0.475   0.246   0.121   -1.652
23  2.155   442     1.361   1.385   0.729   0.067   0.868   0.493   0.300   0.139   -1.530

# NOTE -- For each locus point the columns are as follows:
# (1) the number of the locus point;
# (2) the distance in magnitudes along the stellar locus;
# (3) the number of sources associated with this locus point;
# (4)–(6) the u*-g*, g*-r*, and r*-i* positions of the locus point, respectively;
# (7)–(9) the components of the unit vector along the locus;
# (10) the major axis;
# (11) the minor axis;
# (12) the position angle (in radians) of the ellipse fit to the cross section of the stellar locus.
# See Newberg & Yanny 1997 for more details. 
#
# Table 3 of York et al. 2002
